# "Time","Illumination 1","Illumination 2","Ratio"
7.70,14,751,2,201.6,6.700
7.75,14,801,2,201.6,6.723
7.80,14,848,2,154.7,6.891
7.85,14,801,2,201.6,6.723
7.90,14,751,2,201.6,6.700
7.95,14,801,2,201.6,6.723
8.00,14,848,2,201.6,6.744
8.05,14,848,2,154.7,6.891
8.10,14,848,2,201.6,6.744
8.15,14,751,2,154.7,6.846
8.20,14,751,2,201.6,6.700
8.25,14,751,2,201.6,6.700
8.30,14,848,2,154.7,6.891
8.35,14,751,2,201.6,6.700
8.40,14,704,2,201.6,6.679
8.45,14,704,2,201.6,6.679
8.50,14,801,2,201.6,6.723
8.55,14,704,2,154.7,6.824
8.60,14,751,2,201.6,6.700
8.65,14,801,2,201.6,6.723
8.70,14,801,2,201.6,6.723
8.75,14,801,2,201.6,6.723
8.80,14,801,2,154.7,6.869
8.85,14,848,2,201.6,6.744
8.90,14,751,2,154.7,6.846
8.95,14,848,2,201.6,6.744
9.00,14,801,2,201.6,6.723
9.05,14,751,2,154.7,6.846
9.10,14,801,2,201.6,6.723
9.15,14,801,2,201.6,6.723
9.20,14,751,2,201.6,6.700
9.25,14,801,2,201.6,6.723
9.30,14,704,2,154.7,6.824
9.35,14,751,2,201.6,6.700
9.40,14,801,2,154.7,6.869
9.45,14,704,2,201.6,6.679
9.50,14,704,2,201.6,6.679
9.55,14,704,2,154.7,6.824
9.60,14,848,2,201.6,6.744
9.65,14,704,2,154.7,6.824
9.70,14,751,2,201.6,6.700
9.75,14,751,2,201.6,6.700
9.80,14,801,2,154.7,6.869
9.85,14,848,2,201.6,6.744
9.90,14,751,2,154.7,6.846
9.95,14,801,2,201.6,6.723
10.00,14,704,2,201.6,6.679
10.05,14,801,2,154.7,6.869
10.10,14,848,2,201.6,6.744
10.15,14,704,2,154.7,6.824
10.20,14,751,2,201.6,6.700
10.25,14,751,2,201.6,6.700
10.30,14,801,2,154.7,6.869
10.35,14,751,2,201.6,6.700
10.40,14,704,2,201.6,6.679
10.45,14,704,2,201.6,6.679
10.50,14,751,2,201.6,6.700
10.55,14,751,2,201.6,6.700
10.60,14,704,2,201.6,6.679
10.65,14,704,2,154.7,6.824
10.70,14,704,2,201.6,6.679
10.75,14,801,2,201.6,6.723
10.80,14,751,2,201.6,6.700
10.85,14,704,2,201.6,6.679
10.90,14,801,2,201.6,6.723
10.95,14,704,2,201.6,6.679
11.00,14,751,2,201.6,6.700
11.05,14,751,2,201.6,6.700
11.10,14,751,2,201.6,6.700
11.15,14,848,2,201.6,6.744
11.20,14,751,2,201.6,6.700
11.25,14,704,2,154.7,6.824
11.30,14,751,2,201.6,6.700
11.35,14,751,2,201.6,6.700
11.40,14,801,2,201.6,6.723
11.45,14,704,2,201.6,6.679
11.50,14,751,2,201.6,6.700
11.55,14,704,2,201.6,6.679
11.60,14,704,2,201.6,6.679
11.65,14,801,2,154.7,6.869
11.70,14,801,2,201.6,6.723
11.75,14,801,2,154.7,6.869
11.80,14,704,2,201.6,6.679
11.85,14,704,2,201.6,6.679
11.90,14,801,2,201.6,6.723
11.95,14,801,2,201.6,6.723
12.00,14,848,2,201.6,6.744
12.05,14,704,2,201.6,6.679
12.10,14,801,2,201.6,6.723
12.15,14,751,2,201.6,6.700
12.20,14,848,2,201.6,6.744
12.25,14,848,2,201.6,6.744
12.30,14,801,2,201.6,6.723
12.35,14,704,2,201.6,6.679
12.40,14,801,2,201.6,6.723
12.45,14,751,2,201.6,6.700
12.50,14,751,2,201.6,6.700
12.55,14,801,2,201.6,6.723
12.60,14,801,2,201.6,6.723
12.65,14,801,2,201.6,6.723
12.70,14,704,2,201.6,6.679
12.75,14,751,2,201.6,6.700
12.80,14,751,2,201.6,6.700
12.85,14,801,2,201.6,6.723
12.90,14,848,2,201.6,6.744
12.95,14,801,2,201.6,6.723
13.00,14,704,2,201.6,6.679
13.05,14,704,2,201.6,6.679
13.10,14,751,2,201.6,6.700
13.15,14,751,2,201.6,6.700
13.20,14,704,2,201.6,6.679
13.25,14,801,2,201.6,6.723
13.30,14,801,2,201.6,6.723
13.35,14,704,2,201.6,6.679
13.40,14,751,2,201.6,6.700
